sample_id,cluster_label
0,1
1,2
2,2
3,0
4,2
5,1
6,1
7,0
8,1
9,0
10,1
11,2
12,2
13,1
14,0
15,1
16,2
17,1
18,2
19,1
20,1
21,0
22,0
23,1
24,2
25,0
26,1
27,1
28,2
29,1
30,0
31,2
32,1
33,0
34,1
35,0
36,2
37,2
38,1
39,2
40,2
41,1
42,2
43,0
44,0
45,0
46,2
47,1
48,2
49,1
50,1
51,1
52,0
53,0
54,2
55,2
56,1
57,1
58,2
59,1
60,1
61,1
62,2
63,0
64,1
65,1
66,2
67,2
68,2
69,1
70,2
71,1
72,2
73,1
74,2
75,1
76,1
77,0
78,2
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,2
90,1
91,1
92,1
93,0
94,2
95,2
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,2
106,1
107,1
108,1
109,2
110,1
111,0
112,1
113,1
114,2
115,2
116,1
117,1
118,2
119,2
120,0
121,2
122,2
123,1
124,1
125,2
126,0
127,2
128,2
129,1
130,2
131,2
132,1
133,2
134,2
135,0
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,1
145,2
146,1
147,0
148,2
149,2
150,2
151,1
152,1
153,2
154,1
155,2
156,1
157,2
158,1
159,2
160,1
161,0
162,2
163,1
164,1
165,2
166,1
167,0
168,0
169,1
170,2
171,2
172,0
173,1
174,0
175,1
176,2
177,1
178,1
179,1
180,2
181,1
182,2
183,0
184,2
185,1
186,0
187,2
188,0
189,1
190,1
191,0
192,1
193,2
194,0
195,1
196,2
197,2
198,1
199,2
200,0
201,0
202,1
203,1
204,0
205,1
206,1
207,2
208,1
209,1
210,2
211,0
212,2
213,1
214,1
215,2
216,1
217,0
218,2
219,0
220,0
221,2
222,1
223,2
224,1
225,2
226,2
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,2
236,2
237,1
238,0
239,1
240,1
241,1
242,1
243,2
244,2
245,2
246,2
247,0
248,2
249,0
250,2
251,1
252,1
253,2
254,1
255,2
256,2
257,1
258,0
259,1
260,1
261,2
262,2
263,0
264,2
265,0
266,1
267,1
268,1
269,1
270,0
271,2
272,0
273,2
274,0
275,1
276,2
277,0
278,2
279,1
280,0
281,2
282,2
283,2
284,1
285,1
286,1
287,1
288,0
289,1
290,1
291,1
292,0
293,2
294,2
295,2
296,1
297,1
298,0
299,1
300,1
301,2
302,1
303,1
304,1
305,0
306,2
307,2
308,2
309,1
310,0
311,2
312,0
313,2
314,0
315,2
316,0
317,1
318,0
319,1
320,2
321,1
322,1
323,2
324,0
325,2
326,0
327,1
328,1
329,0
330,1
331,1
332,1
333,2
334,1
335,1
336,2
337,2
338,0
339,1
340,1
341,0
342,0
343,2
344,1
345,0
346,1
347,2
348,2
349,1
350,1
351,2
352,2
353,1
354,1
355,2
356,1
357,2
358,0
359,1
360,1
361,1
362,2
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,2
372,1
373,2
374,2
375,2
376,1
377,1
378,0
379,2
380,2
381,0
382,2
383,2
384,1
385,0
386,2
387,1
388,1
389,0
390,1
391,1
392,1
393,2
394,2
395,1
396,2
397,2
398,2
399,1
400,2
401,1
402,0
403,1
404,1
405,2
406,0
407,1
408,2
409,0
410,1
411,1
412,2
413,1
414,2
415,1
416,1
417,2
418,2
419,0
420,2
421,0
422,1
423,1
424,1
425,0
426,2
427,2
428,2
429,1
430,1
431,2
432,1
433,0
434,1
435,2
436,0
437,2
438,1
439,2
440,2
441,0
442,1
443,1
444,1
445,1
446,0
447,2
448,1
449,1
450,2
451,2
452,1
453,1
454,1
455,2
456,1
457,1
458,0
459,1
460,1
461,0
462,0
463,2
464,1
465,1
466,2
467,0
468,2
469,0
470,2
471,2
472,1
473,1
474,0
475,2
476,0
477,1
478,2
479,1
480,1
481,1
482,0
483,1
484,0
485,0
486,1
487,1
488,2
489,0
490,2
491,1
492,1
493,2
494,1
495,1
496,1
497,1
498,2
499,1
500,1
501,2
502,1
503,1
504,1
505,1
506,1
507,2
508,0
509,0
510,1
511,2
512,0
513,2
514,2
515,2
516,1
517,2
518,0
519,1
520,0
521,0
522,2
523,1
524,2
525,0
526,2
527,1
528,2
529,0
530,1
531,1
532,2
533,0
534,1
535,1
536,0
537,0
538,2
539,1
540,1
541,2
542,1
543,2
544,0
545,1
546,1
547,0
548,1
549,2
550,1
551,2
552,1
553,1
554,1
555,1
556,2
557,2
558,0
559,1
560,1
561,1
562,0
563,2
564,2
565,2
566,1
567,1
568,2
569,0
570,1
571,2
572,1
573,1
574,2
575,1
576,1
577,1
578,2
579,0
580,1
581,1
582,0
583,1
584,2
585,2
586,0
587,2
588,2
589,2
590,2
591,2
592,1
593,0
594,1
595,1
596,1
597,0
598,2
599,2
600,2
601,2
602,1
603,1
604,0
605,1
606,1
607,1
608,1
609,2
610,2
611,0
612,1
613,2
614,2
615,1
616,2
617,0
618,0
619,1
620,2
621,0
622,2
623,1
624,1
625,1
626,0
627,1
628,1
629,0
630,2
631,1
632,1
633,1
634,1
635,2
636,1
637,2
638,1
639,1
640,2
641,1
642,1
643,2
644,2
645,2
646,1
647,1
648,2
649,2
650,2
651,2
652,2
653,1
654,2
655,1
656,1
657,1
658,1
659,2
660,1
661,1
662,2
663,1
664,0
665,0
666,2
667,2
668,2
669,2
670,0
671,1
672,1
673,0
674,2
675,2
676,2
677,2
678,0
679,0
680,2
681,2
682,2
683,0
684,1
685,0
686,1
687,1
688,1
689,2
690,1
691,1
692,0
693,0
694,1
695,0
696,2
697,1
698,1
699,0
700,2
701,2
702,1
703,2
704,2
705,1
706,1
707,2
708,2
709,1
710,2
711,2
712,2
713,1
714,1
715,1
716,1
717,1
718,1
719,2
720,2
721,0
722,1
723,1
724,1
725,2
726,0
727,2
728,2
729,1
730,2
731,2
732,0
733,1
734,0
735,1
736,1
737,2
738,1
739,1
740,1
741,2
742,1
743,1
744,2
745,1
746,1
747,0
748,2
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,2
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
